edu_group,RACEV1X,average_spending
Bachelor's,1 WHITE - NO OTHER RACE REPORTED,7745.976094380627
Bachelor's,2 BLACK - NO OTHER RACE REPORTED,5558.36052631579
Bachelor's,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,7916.625
Bachelor's,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,3229.155737704918
Bachelor's,6 MULTIPLE RACES REPORTED,19406.17948717949
Graduate/Professional,1 WHITE - NO OTHER RACE REPORTED,8857.24861878453
Graduate/Professional,2 BLACK - NO OTHER RACE REPORTED,15359.399122807017
Graduate/Professional,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,3167.2
Graduate/Professional,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,3741.1504702194356
Graduate/Professional,6 MULTIPLE RACES REPORTED,6420.745454545455
High School,1 WHITE - NO OTHER RACE REPORTED,7314.287172941928
High School,2 BLACK - NO OTHER RACE REPORTED,6943.630381803412
High School,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,4952.266666666666
High School,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,4465.815261044177
High School,6 MULTIPLE RACES REPORTED,8089.983333333334
High School Not Completed,1 WHITE - NO OTHER RACE REPORTED,3890.3255813953488
High School Not Completed,2 BLACK - NO OTHER RACE REPORTED,4160.8041692988
High School Not Completed,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,7509.009615384615
High School Not Completed,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,2879.3630136986303
High School Not Completed,6 MULTIPLE RACES REPORTED,3066.7813688212927
Some College,1 WHITE - NO OTHER RACE REPORTED,7856.1897926634765
Some College,2 BLACK - NO OTHER RACE REPORTED,7517.445868945869
Some College,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,4822.612903225807
Some College,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,3896.186046511628
Some College,6 MULTIPLE RACES REPORTED,12479.21301775148
